field,category,description,non-missing,Min,Median,Max
case_id,id,unique uswtdb id,63794,3000001,3044037,3098966
faa_ors,id,faa digital obstacle file (dof) for obstacle repository system (ors),56910,n/a,n/a,n/a
faa_asn,id,faa obstruction evaluation - airport airspace analysis (oe-aaa) aeronautical study number (asn),57725,n/a,n/a,n/a
usgs_pr_id,id,usgs id from prior turbine dataset,40604,1,28068,49135
eia_id,id,eia plant id from eia form 860,56444,90,57284,62736
t_state,location,state where turbine is located,63794,n/a,n/a,n/a
t_county,location,county where turbine is located,63794,n/a,n/a,n/a
t_fips,location,state and county fips where turbine is located,63794,n/a,n/a,n/a
p_name,project characteristic,project name,63003,n/a,n/a,n/a
p_year,project characteristic,year project became operational,62371,1981,2011,2020
p_tnum,project characteristic,number of turbines in project,63794,1,87,772
p_cap,project characteristic,project capacity (MW),59803,0.05,150,495.01
t_manu,turbine characteristic,turbine original equipment manufacturer,58619,n/a,n/a,n/a
t_model,turbine characteristic,turbine model,58273,n/a,n/a,n/a
t_cap,turbine characteristic,turbine capacity (kW),58792,50,1790,6000
t_hh,turbine characteristic,turbine hub height (meters),57192,19,80,131
t_rd,turbine characteristic,turbine rotor diameter (meters),57879,11.0,90.0,150
t_rsa,turbine characteristic,turbine rotor swept area (meters^2),57879,95.03,6361.73,17671.46
t_ttlh,turbine characteristic,turbine total height - calculated (meters),57189,30.5,125.0,199.6
t_conf_atr,turbine characteristics qa/qc,turbine characteristic confidence (0-3),63794,1,3,3
t_conf_loc,visual inspection qa/qc,location confidence (0 -3),63794,1,3,3
t_img_date,visual inspection info,date of image used to visually verify turbine location,51348,n/a,n/a,n/a
t_img_srce,visual inspection info,source of image used to visually verify turbine location,63794,n/a,n/a,n/a
xlong,location,longitude (decimal degrees - NAD 83 datum),63794,-171.7131,-99.6272,144.7227
ylat,location,latitude (decimal degrees - NAD 83 datum),63794,13.3894,38.8312,66.8399
,,,,,,
Acronyms,,,,,,
ASN,Aeronautical Study Number,,,,,
AWEA,American Wind Energy Association,,,,,
DOF,Digital Obstacal File,,,,,
FAA,Federal Avaiation Administration,,,,,
LBNL,Lawrence Berkeley National Laboratory,,,,,
OE/AAA,Obstacle Evaluation / Airport Airspace Analysis,,,,,
ORS,Obstacle Repository System,,,,,
USGS,United States Geological Survey,,,,,
EIA,Energy Information Administration,,,,,
