Average Wind Speed ?,County / Population
22.92 mph,"Coke, TX / 3,260"
21.94 mph,"Nolan, TX / 15,082"
21.64 mph,"Tom Green, TX / 113,516"
21.18 mph,"Mitchell, TX / 9,236"
21.02 mph,"El Paso, TX / 823,862"
20.29 mph,"Sterling, TX / 1,360"
20.18 mph,"Schleicher, TX / 3,281"
19.96 mph,"Taylor, TX / 133,560"
19.85 mph,"Runnels, TX / 10,441"
19.81 mph,"Menard, TX / 2,193"
19.65 mph,"Concho, TX / 4,091"
19.56 mph,"Sutton, TX / 3,995"
19.30 mph,"Howard, TX / 35,702"
19.13 mph,"Jones, TX / 20,092"
18.83 mph,"Red River, TX / 12,642"
18.74 mph,"Matagorda, TX / 36,611"
18.70 mph,"Wichita, TX / 131,802"
18.69 mph,"Scurry, TX / 17,108"
18.67 mph,"Clay, TX / 10,547"
18.65 mph,"Fisher, TX / 3,882"
18.54 mph,"Irion, TX / 1,626"
18.43 mph,"Archer, TX / 8,853"
18.07 mph,"Stonewall, TX / 1,409"
17.96 mph,"Mason, TX / 4,061"
17.82 mph,"Mcculloch, TX / 8,245"
17.79 mph,"Bowie, TX / 93,068"
17.78 mph,"Kent, TX / 858"
17.74 mph,"Morris, TX / 12,805"
17.66 mph,"Callahan, TX / 13,519"
17.64 mph,"Gillespie, TX / 25,179"
17.63 mph,"Shackelford, TX / 3,359"
17.56 mph,"Franklin, TX / 10,600"
17.55 mph,"Hartley, TX / 6,091"
17.55 mph,"Edwards, TX / 2,037"
17.54 mph,"Titus, TX / 32,540"
17.45 mph,"Kenedy, TX / 528"
17.43 mph,"Borden, TX / 676"
17.41 mph,"Bailey, TX / 7,084"
17.40 mph,"Kimble, TX / 4,522"
17.38 mph,"Coleman, TX / 8,656"
17.38 mph,"Glasscock, TX / 1,190"
17.37 mph,"Kendall, TX / 36,058"
17.34 mph,"Delta, TX / 5,239"
17.34 mph,"Willacy, TX / 22,056"
17.29 mph,"Real, TX / 3,365"
17.25 mph,"Kerr, TX / 49,914"
17.21 mph,"Eastland, TX / 18,403"
17.20 mph,"Hopkins, TX / 35,478"
17.17 mph,"Cherokee, TX / 50,971"
17.12 mph,"Montague, TX / 19,568"
17.10 mph,"Lamar, TX / 49,704"
17.10 mph,"Gregg, TX / 122,736"
17.08 mph,"Limestone, TX / 23,531"
17.07 mph,"Llano, TX / 19,272"
17.05 mph,"Wood, TX / 42,431"
17.02 mph,"Cass, TX / 30,350"
17.00 mph,"Jack, TX / 8,967"
16.98 mph,"Dallam, TX / 6,957"
16.98 mph,"Upshur, TX / 39,851"
16.93 mph,"Bell, TX / 321,591"
16.92 mph,"Brooks, TX / 7,200"
16.92 mph,"Nacogdoches, TX / 65,322"
16.89 mph,"Moore, TX / 22,172"
16.89 mph,"Cooke, TX / 38,558"
16.85 mph,"Bandera, TX / 20,642"
16.85 mph,"Mclennan, TX / 239,717"
16.83 mph,"Haskell, TX / 5,875"
16.82 mph,"Knox, TX / 3,776"
16.82 mph,"Throckmorton, TX / 1,584"
16.82 mph,"Palo Pinto, TX / 28,028"
16.81 mph,"Brown, TX / 37,903"
16.81 mph,"Wise, TX / 60,413"
16.80 mph,"Gray, TX / 22,771"
16.79 mph,"Rusk, TX / 54,159"
16.79 mph,"Falls, TX / 17,524"
16.73 mph,"Camp, TX / 12,463"
16.73 mph,"Marion, TX / 10,335"
16.71 mph,"Blanco, TX / 10,625"
16.68 mph,"Hood, TX / 52,347"
16.66 mph,"Cochran, TX / 3,031"
16.65 mph,"Harrison, TX / 66,971"
16.64 mph,"Erath, TX / 39,291"
16.63 mph,"Madison, TX / 13,771"
16.62 mph,"Smith, TX / 214,735"
16.61 mph,"Williamson, TX / 457,218"
16.61 mph,"Yoakum, TX / 8,054"
16.60 mph,"Aransas, TX / 23,889"
16.59 mph,"Baylor, TX / 3,648"
16.57 mph,"Sherman, TX / 3,060"
16.50 mph,"Crockett, TX / 3,871"
16.50 mph,"Ochiltree, TX / 10,546"
16.50 mph,"Wilbarger, TX / 13,265"
16.47 mph,"Milam, TX / 24,388"
16.46 mph,"Hutchinson, TX / 21,947"
16.45 mph,"Panola, TX / 23,880"
16.45 mph,"Somervell, TX / 8,575"
16.41 mph,"Coryell, TX / 76,276"
16.36 mph,"Reagan, TX / 3,520"
16.31 mph,"King, TX / 290"
16.30 mph,"Dawson, TX / 13,593"
16.30 mph,"Shelby, TX / 25,698"
16.28 mph,"Parmer, TX / 10,124"
16.26 mph,"Martin, TX / 5,096"
16.26 mph,"Comanche, TX / 13,755"
16.23 mph,"Roberts, TX / 924"
16.23 mph,"Midland, TX / 146,387"
16.22 mph,"Stephens, TX / 9,485"
16.22 mph,"Leon, TX / 16,784"
16.21 mph,"San Saba, TX / 5,901"
16.18 mph,"Anderson, TX / 58,084"
16.17 mph,"Cameron, TX / 415,103"
16.17 mph,"Hudspeth, TX / 3,344"
16.17 mph,"Culberson, TX / 2,325"
16.17 mph,"Hansford, TX / 5,540"
16.15 mph,"Freestone, TX / 19,661"
16.15 mph,"Brazoria, TX / 325,477"
16.14 mph,"Parker, TX / 119,784"
16.09 mph,"Hardeman, TX / 4,050"
16.08 mph,"Foard, TX / 1,159"
16.07 mph,"Lampasas, TX / 20,020"
16.04 mph,"Burnet, TX / 43,911"
16.02 mph,"Young, TX / 18,374"
16.02 mph,"Tarrant, TX / 1,881,469"
16.01 mph,"Donley, TX / 3,636"
16.01 mph,"Sabine, TX / 10,551"
15.99 mph,"Lee, TX / 16,617"
15.97 mph,"Crosby, TX / 6,025"
15.95 mph,"Bosque, TX / 18,052"
15.95 mph,"Grayson, TX / 121,975"
