description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,net_generation,2019
Net generation for wind,thousand megawatthours,,,,,,,,,,,,,,,,,,,,
United States,thousand megawatthours,ELEC.GEN.WND-US-99.A,,,,,,,,,,,,,,,,,,,
United States : all sectors,thousand megawatthours,ELEC.GEN.WND-US-99.A,6737,10354,11187,14144,17811,26589,34450,55363,73886,94652,120177,140822,167840,181655,190719,226993,254303,272667,300071
United States : electric power,,ELEC.GEN.WND-US-98.A,,,,,,,,,,,,,,,,,,,
United States : electric utility,thousand megawatthours,ELEC.GEN.WND-US-1.A,135,213,354,405,1046,2351,4361,6899,10348,13089,17140,22926,26436,27671,30412,35070,37068,38466,44432
United States : independent power producers,thousand megawatthours,ELEC.GEN.WND-US-94.A,6602,10141,10834,13739,16764,24238,30089,48464,63538,81547,102981,117822,141306,153825,160135,191720,217006,233931,255352
United States : all commercial,thousand megawatthours,ELEC.GEN.WND-US-96.A,--,--,--,--,--,--,--,--,0,16,51,54,61,107,118,131,144,174,181
United States : all industrial,thousand megawatthours,ELEC.GEN.WND-US-97.A,--,--,--,--,--,--,--,--,--,0,5,19,37,53,53,71,84,97,105
New England,thousand megawatthours,ELEC.GEN.WND-NEW-99.A,,,,,,,,,,,,,,,,,,,
New England : all sectors,thousand megawatthours,ELEC.GEN.WND-NEW-99.A,12,10,11,11,11,11,110,156,379,614,870,1294,1880,2055,2269,2646,3444,3556,3664
New England : electric power,,ELEC.GEN.WND-NEW-98.A,,,,,,,,,,,,,,,,,,,
New England : electric utility,thousand megawatthours,ELEC.GEN.WND-NEW-1.A,12,10,11,11,11,11,11,14,17,30,55,85,189,252,267,238,241,230,227
New England : independent power producers,thousand megawatthours,ELEC.GEN.WND-NEW-94.A,--,--,--,--,--,--,99,142,361,582,806,1199,1676,1768,1967,2380,3174,3294,3401
New England : all commercial,thousand megawatthours,ELEC.GEN.WND-NEW-96.A,--,--,--,--,--,--,--,--,0,2,9,9,15,32,33,27,28,29,33
New England : all industrial,thousand megawatthours,ELEC.GEN.WND-NEW-97.A,--,--,--,--,--,--,--,--,--,--,--,--,--,3,3,1,2,3,NM
Connecticut,thousand megawatthours,ELEC.GEN.WND-CT-99.A,,,,,,,,,,,,,,,,,,,
Connecticut : all sectors,thousand megawatthours,ELEC.GEN.WND-CT-99.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13,13,12,13
Connecticut : electric power,,ELEC.GEN.WND-CT-98.A,,,,,,,,,,,,,,,,,,,
Connecticut : electric utility,thousand megawatthours,ELEC.GEN.WND-CT-1.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Connecticut : independent power producers,thousand megawatthours,ELEC.GEN.WND-CT-94.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13,13,12,13
Connecticut : all commercial,thousand megawatthours,ELEC.GEN.WND-CT-96.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Connecticut : all industrial,thousand megawatthours,ELEC.GEN.WND-CT-97.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maine,thousand megawatthours,ELEC.GEN.WND-ME-99.A,,,,,,,,,,,,,,,,,,,
Maine : all sectors,thousand megawatthours,ELEC.GEN.WND-ME-99.A,--,--,--,--,--,--,99,132,299,499,707,887,1048,1097,1296,1667,2333,2384,2408
Maine : electric power,,ELEC.GEN.WND-ME-98.A,,,,,,,,,,,,,,,,,,,
Maine : electric utility,thousand megawatthours,ELEC.GEN.WND-ME-1.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maine : independent power producers,thousand megawatthours,ELEC.GEN.WND-ME-94.A,--,--,--,--,--,--,99,132,299,499,707,887,1048,1097,1296,1667,2333,2384,2408
Maine : all commercial,thousand megawatthours,ELEC.GEN.WND-ME-96.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Maine : all industrial,thousand megawatthours,ELEC.GEN.WND-ME-97.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Massachusetts,thousand megawatthours,ELEC.GEN.WND-MA-99.A,,,,,,,,,,,,,,,,,,,
